Year,pop
1955,10766000
1960,10800761
1961,11222000
1962,11653000
1963,12397000
1964,12941000
1965,13404000
1966,13615000
1967,14566000
1968,15054000
1969,15767000
1970,16371021
1971,17703000
1972,17865000
1973,18273000
1974,18758000
1975,19317000
1976,19794000
1977,20311000
1978,20748000
1979,21096000
1980,21318704
1981,21663000
1982,21682000
1983,21632000
1984,21529000
1985,21265000
1986,20744000
1987,20192000
1988,19655000
1989,19258000
1990,19131578
1991,19194000
1992,19044674
1993,18762450
1994,18326487
1995,17882118
1996,17559730
1997,17511806
2010,21585999
2011,22159198
2012,22585960
2013,22812234
2014,22873939
2015,22668650
2016,22344607
2017,22042321
2018,21808086
2019,21632940
